"id","expCode","subject","age","gender","ethnicity","country","education","economics","quizAttempts","trialCount","condition","faceID","choice","choiceCongruent","trustworthyRate","reasonForExp","reasonCorrect","elapsedTime","responseTime","trialEndTime","date"
"1","llP1","03c2782a","26","1","7","United Stat","4","0","2","1","5","1","1","2","0","0","0","132.537","0","11:59:37","20/04/2016"
"2","llP1","03c2782a","26","1","7","United Stat","4","0","2","2","4","2","1","2","0","0","0","144.399","0","11:59:49","20/04/2016"
"3","llP1","03c2782a","26","1","7","United Stat","4","0","2","3","0","5","0","1","0","0","0","153.535","0","11:59:58","20/04/2016"
"4","llP1","03c2782a","26","1","7","United Stat","4","0","2","4","3","4","1","1","0","0","0","164.807","0","12:00:09","20/04/2016"
"5","llP1","03c2782a","26","1","7","United Stat","4","0","2","5","2","0","0","0","0","0","0","172.826","0","12:00:17","20/04/2016"
"6","llP1","03c2782a","26","1","7","United Stat","4","0","2","6","1","3","1","0","0","0","0","180.835","0","12:00:25","20/04/2016"
"7","llP1","03c2782a","26","1","7","United Stat","4","0","2","0","0","1","0","0","8","0","0","197.738","11.691","12:00:42","20/04/2016"
"8","llP1","03c2782a","26","1","7","United Stat","4","0","2","0","0","0","0","0","8","0","0","210.899","12.625","12:00:55","20/04/2016"
"9","llP1","03c2782a","26","1","7","United Stat","4","0","2","0","0","3","0","0","6","0","0","219.407","7.925","12:01:04","20/04/2016"
"10","llP1","03c2782a","26","1","7","United Stat","4","0","2","0","0","4","0","0","6","0","0","226.015","6.114","12:01:10","20/04/2016"
"11","llP1","03c2782a","26","1","7","United Stat","4","0","2","0","0","5","0","0","6","0","0","231.854","5.336","12:01:16","20/04/2016"
"12","llP1","03c2782a","26","1","7","United Stat","4","0","2","0","0","2","0","0","7","0","0","238.742","4.276","12:01:23","20/04/2016"
"13","llP1","03c2782a","26","1","7","United Stat","4","0","0","0","0","0","0","0","0","2","0","260.317","21.024","12:01:45","20/04/2016"
"id","expCode","subject","age","gender","ethnicity","country","education","economics","quizAttempts","trialCount","condition","faceID","choice","choiceCongruent","trustworthyRate","reasonForExp","reasonCorrect","elapsedTime","responseTime","trialEndTime","date"
"1","llP1","1d72221b","44","1","2","United Stat","4","1","1","1","2","2","1","1","0","0","0","186.61","0","12:07:23","20/04/2016"
"2","llP1","1d72221b","44","1","2","United Stat","4","1","1","2","4","3","0","2","0","0","0","194.804","0","12:07:31","20/04/2016"
"3","llP1","1d72221b","44","1","2","United Stat","4","1","1","3","5","5","1","2","0","0","0","203.449","0","12:07:39","20/04/2016"
"4","llP1","1d72221b","44","1","2","United Stat","4","1","1","4","0","4","0","1","0","0","0","211.292","0","12:07:47","20/04/2016"
"5","llP1","1d72221b","44","1","2","United Stat","4","1","1","5","3","1","0","0","0","0","0","222.884","0","12:07:59","20/04/2016"
"6","llP1","1d72221b","44","1","2","United Stat","4","1","1","6","1","0","0","1","0","0","0","233.716","0","12:08:10","20/04/2016"
"7","llP1","1d72221b","44","1","2","United Stat","4","1","1","0","0","0","0","0","5","0","0","249.513","10.928","12:08:26","20/04/2016"
"8","llP1","1d72221b","44","1","2","United Stat","4","1","1","0","0","5","0","0","5","0","0","253.939","3.967","12:08:30","20/04/2016"
"9","llP1","1d72221b","44","1","2","United Stat","4","1","1","0","0","3","0","0","5","0","0","260.137","5.724","12:08:36","20/04/2016"
"10","llP1","1d72221b","44","1","2","United Stat","4","1","1","0","0","2","0","0","5","0","0","264.913","4.287","12:08:41","20/04/2016"
"11","llP1","1d72221b","44","1","2","United Stat","4","1","1","0","0","4","0","0","5","0","0","269.903","4.475","12:08:46","20/04/2016"
"12","llP1","1d72221b","44","1","2","United Stat","4","1","1","0","0","1","0","0","5","0","0","273.855","3.495","12:08:50","20/04/2016"
"13","llP1","1d72221b","44","1","2","United Stat","4","1","0","0","0","0","0","0","0","1","0","290.801","16.461","12:09:07","20/04/2016"
"id","expCode","subject","age","gender","ethnicity","country","education","economics","quizAttempts","trialCount","condition","faceID","choice","choiceCongruent","trustworthyRate","reasonForExp","reasonCorrect","elapsedTime","responseTime","trialEndTime","date"
"1","llP1","3d643351","21","0","2","United Stat","4","0","5","1","4","2","1","2","0","0","0","1312.06","0","15:43:55","20/04/2016"
"2","llP1","3d643351","21","0","2","United Stat","4","0","5","2","1","0","0","1","0","0","0","1321.46","0","15:44:04","20/04/2016"
"3","llP1","3d643351","21","0","2","United Stat","4","0","5","3","2","5","1","1","0","0","0","1330.44","0","15:44:13","20/04/2016"
"4","llP1","3d643351","21","0","2","United Stat","4","0","5","4","3","3","1","1","0","0","0","1338.95","0","15:44:22","20/04/2016"
